pri_rank,port_id,port_name,country_name,iso2,iso3,latitude,longitude,pri_score,risk_tier,data_tier,n_dims,dims_used,dim_cv,cv_flag,d1_score,d1_tier,score_1_1,score_1_2,score_1_3,score_1_4,ctrl_depth_final,vessel_class_count,terminal_count,cyclone_passes,pga_g,d2_score,d2_tier,score_2_1,score_2_2,score_2_3,score_2_4,lpi_score,dwell_hours,labour_regime,d3_score,d3_tier,score_3_1,score_3_2,score_3_3,score_3_4,catchment_share_pct,hinterland_count,herfindahl,alt_distance_km,d4_score,d4_tier,score_4_1,score_4_2,score_4_3,score_4_4,wgi_ps,wgi_ge,sanctions_level,dispute_level
2752,5180.0,Heron Bay,Canada,CA,CAN,48.65,-86.31666699999998,1.126,Moderate,A,4,D1|D2|D3|D4,0.4962,False,1.831,A,7.5,10.0,0.0,1.5,11.0,1,1,0,0.05,2.161,A,2.75,2.756,2.0,1.44,3.9,55.0,stable,1.488,A,1.2,2.0,8.0,0.255,12,1,0.8,112.4,0.273,A,2.5,1.56,0.0,0.0,1.25,1.72,none,none
2753,1420.0,St Anthony,Canada,CA,CAN,51.366666667,-55.566666667,1.1259,Moderate,A,4,D1|D2|D3|D4,0.5084,False,1.968,A,10.0,10.0,0.0,1.5,7.2,0,1,0,0.05,2.161,A,2.75,2.756,2.0,1.44,3.9,55.0,stable,1.384,A,1.2,2.0,8.0,0.191,12,1,0.8,96.9,0.273,A,2.5,1.56,0.0,0.0,1.25,1.72,none,none
2754,54500.0,Bunbury,Australia,AU,AUS,-33.316667,115.633333,1.1258,Moderate,A,4,D1|D2|D3|D4,0.5766,False,1.346,A,2.5,8.748,0.0,1.5,14.0,3,2,0,0.05,2.672,A,3.25,3.269,2.0,2.4,3.7,63.0,stable,1.636,A,1.2,2.0,8.0,0.373,12,1,0.8,141.3,0.273,A,2.5,1.56,0.0,0.0,1.25,1.72,none,none
2755,46485.0,Takula Terminal,Angola,AO,AGO,-5.216667,11.783333,1.1254,Moderate,A,4,D1|D2|D3|D4,1.1227,False,0.602,A,0.0,8.748,0.0,1.5,24.0,4,2,0,0.05,5.91,A,6.5,6.474,5.0,5.8,2.4,113.0,uncertain,1.177,A,1.2,2.0,8.0,0.0,12,1,0.8,24.6,0.383,A,5.16,6.04,0.0,0.0,-0.08,-0.52,none,none
2756,46547.0,Palanca Terminal,Angola,AO,AGO,-6.95,12.4,1.1254,Moderate,A,4,D1|D2|D3|D4,1.1227,False,0.602,A,0.0,8.748,0.0,1.5,24.0,4,2,0,0.05,5.91,A,6.5,6.474,5.0,5.8,2.4,113.0,uncertain,1.177,A,1.2,2.0,8.0,0.023,12,1,0.8,55.6,0.383,A,5.16,6.04,0.0,0.0,-0.08,-0.52,none,none
2757,5650.0,Richibucto Harbor,Canada,CA,CAN,46.683333333,-64.866666667,1.1245,Moderate,A,4,D1|D2|D3|D4,0.4889,False,1.6549,A,5.0,10.0,0.0,1.5,12.5,2,1,0,0.05,2.161,A,2.75,2.756,2.0,1.44,3.9,55.0,stable,1.638,A,1.2,2.0,8.0,0.375,12,1,0.8,141.9,0.273,A,2.5,1.56,0.0,0.0,1.25,1.72,none,none
2758,45570.0,Alger,Algeria,DZ,DZA,36.766667,3.066667,1.1231,Moderate,A,4,D1|D2|D3|D4,1.041,False,0.67,A,0.0,4.736,0.0,4.25,18.6,4,10,0,0.15,5.161,A,6.0,6.026,5.0,3.924,2.6,106.0,uncertain,1.211,A,1.2,2.0,8.0,0.112,12,1,0.8,77.5,0.38,A,5.44,5.56,0.0,0.0,-0.22,-0.28,none,none
2759,30730.0,Rendsburg,Germany,DE,DEU,54.3,9.683333,1.1229,Moderate,A,4,D1|D2|D3|D4,0.6522,False,1.675,A,7.5,8.748,0.0,1.2,11.0,1,2,0,0.04,3.043,A,2.25,2.244,8.0,2.124,4.1,47.0,volatile,1.177,A,1.2,2.0,8.0,0.0,12,1,0.8,22.6,0.265,A,2.36,1.36,0.0,0.0,1.32,1.82,none,none
2760,28870.0,Wismar,Germany,DE,DEU,53.9,11.466667,1.1229,Moderate,A,4,D1|D2|D3|D4,0.6522,False,1.675,A,7.5,8.748,0.0,1.2,9.4,1,2,0,0.04,3.043,A,2.25,2.244,8.0,2.124,4.1,47.0,volatile,1.177,A,1.2,2.0,8.0,0.0,12,1,0.8,38.9,0.265,A,2.36,1.36,0.0,0.0,1.32,1.82,none,none
2761,29005.0,Flensburg,Germany,DE,DEU,54.8,9.433333,1.1229,Moderate,A,4,D1|D2|D3|D4,0.6522,False,1.675,A,7.5,8.748,0.0,1.2,11.0,1,2,0,0.04,3.043,A,2.25,2.244,8.0,2.124,4.1,47.0,volatile,1.177,A,1.2,2.0,8.0,0.0,12,1,0.8,24.1,0.265,A,2.36,1.36,0.0,0.0,1.32,1.82,none,none
2762,30720.0,Brunsbuttel Canal Terminals,Germany,DE,DEU,53.9,9.15,1.1229,Moderate,A,4,D1|D2|D3|D4,0.6522,False,1.675,A,7.5,8.748,0.0,1.2,11.0,1,2,0,0.04,3.043,A,2.25,2.244,8.0,2.124,4.1,47.0,volatile,1.177,A,1.2,2.0,8.0,0.0,12,1,0.8,2.2,0.265,A,2.36,1.36,0.0,0.0,1.32,1.82,none,none
2763,18980.0,Stewart,Canada,CA,CAN,55.933333,-130.0,1.1216,Moderate,A,4,D1|D2|D3|D4,0.4979,False,1.831,A,7.5,10.0,0.0,1.5,23.2,1,1,0,0.05,2.161,A,2.75,2.756,2.0,1.44,3.9,55.0,stable,1.465,A,1.2,2.0,8.0,0.24,12,1,0.8,108.7,0.273,A,2.5,1.56,0.0,0.0,1.25,1.72,none,none
2764,46320.0,Malabo,Equatorial Guinea,GQ,GNQ,3.75,8.783333,1.1215,Moderate,A,4,D1|D2|D3|D4,1.1821,False,0.53,A,0.0,8.748,0.0,0.9,24.0,4,2,0,0.03,6.57,A,6.75,6.731,5.0,8.2,2.3,117.0,uncertain,1.177,A,1.2,2.0,8.0,0.0,12,1,0.8,8.3,0.386,A,5.24,6.24,0.0,0.0,-0.12,-0.62,none,none
2765,46855.0,Richards Bay,South Africa,ZA,ZAF,-28.81,32.098333333,1.1213,Moderate,A,4,D1|D2|D3|D4,0.9024,False,0.586,A,0.0,7.86,0.0,1.5,19.0,4,3,0,0.05,4.33,A,4.25,2.308,8.0,4.48,3.3,48.0,volatile,1.702,A,1.2,2.0,8.2,0.426,12,1,0.82,154.3,0.366,A,5.16,4.64,0.0,0.0,-0.08,0.18,none,none
